2026-05-27 10:55:06 | INFO | JT | CSV PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\justice_score_stats.txt
2026-05-27 10:55:06 | INFO | JT | CSV PIPELINE: END
2026-05-27 10:55:06 | INFO | JT | JT XLSX PIPELINE: START
2026-05-27 10:55:06 | INFO | JT | JT XLSX PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\jt_xlsx_word_count.txt
2026-05-27 10:55:06 | INFO | JT | JT XLSX PIPELINE: END
2026-05-27 10:55:06 | INFO | JT | JSON PIPELINE: START
2026-05-27 10:55:06 | INFO | JT | JSON PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\json_people_by_country.txt
2026-05-27 10:55:06 | INFO | JT | JSON PIPELINE: END
2026-05-27 10:55:06 | INFO | JT | JT TXT PIPELINE: START
2026-05-27 10:55:06 | INFO | JT | JT TXT PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\jt_text_summary.txt
2026-05-27 10:55:06 | INFO | JT | JT TXT PIPELINE: END
2026-05-27 10:55:06 | INFO | JT | ========== Executed successfully! ==========
2026-05-27 16:16:06 | INFO | JT | === RUN START ===
2026-05-27 16:16:06 | INFO | JT | project=JT PIPELINES
2026-05-27 16:16:06 | INFO | JT | repo_dir=datafun-03-analytics
2026-05-27 16:16:06 | INFO | JT | python=3.14.5
2026-05-27 16:16:06 | INFO | JT | os=Windows 11
2026-05-27 16:16:06 | INFO | JT | shell=powershell
2026-05-27 16:16:06 | INFO | JT | cwd=.
2026-05-27 16:16:06 | INFO | JT | github_actions=False
2026-05-27 16:16:06 | INFO | JT | ========== START main() ==========
